prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,130.8793,3.6059,54.7934,70.5000,65.9318,128.0000,25.6256,18.9236,287.5562,70.0000,63.0238,230.7757,0.0232,3506.7760,2422.2266,0.2439,36807.1880
64.0000,134.0314,3.4827,52.5729,71.0000,66.6500,256.0000,25.1523,17.7276,267.0510,74.0000,63.9895,222.8903,0.0224,3364.6682,4538.2710,0.4570,68365.0500
64.0000,132.3682,3.2311,48.4476,74.0000,70.1500,512.0000,23.6834,18.6593,279.6829,79.0000,70.6320,206.7926,0.0208,3100.6480,9553.5390,0.9621,143197.6200
256.0000,130.8459,3.9382,59.3042,80.0000,74.4317,128.0000,24.8206,18.9332,285.1120,77.5000,68.2803,1008.1719,0.1015,15181.8630,2423.4556,0.2441,36494.3360
256.0000,159.5016,3.0574,46.0408,78.5000,73.3868,256.0000,23.7642,19.1317,288.1011,76.5000,65.8563,782.6938,0.0788,11786.4320,4897.7260,0.4932,73753.8900
256.0000,157.2965,2.9832,44.7409,77.5000,72.8722,512.0000,23.3865,18.7572,281.3130,78.5000,67.8554,763.7000,0.0769,11453.6700,9603.6860,0.9671,144032.2700
1024.0000,126.1394,4.0477,60.6908,86.0000,80.0771,128.0000,21.3547,19.8757,297.6261,83.0000,72.3363,4144.8135,0.4174,62147.3600,2544.0923,0.2562,38096.1370
1024.0000,120.3927,4.1031,61.1262,85.5000,79.3892,256.0000,20.8308,20.1811,298.8126,83.5000,73.1613,4201.5780,0.4231,62593.1800,5166.3560,0.5203,76496.0200
1024.0000,108.0226,4.8144,71.5974,86.0000,80.5530,512.0000,20.2416,21.9537,326.4872,85.0000,75.3717,4929.9155,0.4965,73315.7400,11240.3125,1.1320,167161.4700
