prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,57.1939,5.9063,86.7512,39.5000,37.6942,128.0000,20.9031,17.2483,253.3435,42.5000,41.3211,378.0009,0.0140,5552.0780,2207.7856,0.0817,32427.9730
64.0000,95.2381,3.7735,55.4245,38.5000,37.5000,256.0000,20.8198,17.0892,251.0060,44.0000,42.3330,241.5009,0.0089,3547.1660,4374.8296,0.1620,64257.5300
64.0000,96.1683,3.8663,56.7324,39.0000,38.1071,512.0000,20.2644,17.6858,259.5146,47.0000,44.1683,247.4426,0.0092,3630.8760,9055.1340,0.3353,132871.4700
256.0000,93.3285,4.2680,62.3808,45.5000,42.7643,128.0000,20.2148,17.8784,261.3111,46.5000,45.5044,1092.6028,0.0405,15969.4880,2288.4380,0.0847,33447.8200
256.0000,93.6528,4.2443,62.0345,46.5000,43.3818,256.0000,19.9914,18.0163,263.3263,48.5000,46.3748,1086.5369,0.0402,15880.8320,4612.1740,0.1708,67411.5500
256.0000,93.7557,4.4099,63.4882,49.5000,47.0091,512.0000,19.5973,18.5546,267.0063,51.0000,49.7673,1128.9242,0.0418,16252.9770,9499.9700,0.3517,136707.2500
1024.0000,69.6243,5.7494,81.5500,52.5000,49.2291,128.0000,18.1689,20.0647,284.5980,52.5000,50.8688,5887.4214,0.2180,83507.2340,2568.2834,0.0951,36428.5470
1024.0000,69.9310,5.8393,82.5096,54.5000,52.2679,256.0000,18.0110,20.3756,287.3204,55.0000,52.8257,5979.4930,0.2214,84489.8300,5216.1504,0.1931,73554.0160
1024.0000,69.7999,5.8616,82.8166,56.0000,53.4557,512.0000,17.6661,20.8419,294.8516,56.0000,53.9291,6002.3240,0.2222,84804.2500,10671.0680,0.3951,150964.0000
