prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,119.7381,1.7725,27.1954,59.0500,57.5282,128.0000,67.9586,9.0989,138.6647,72.7500,66.7674,113.4383,0.0023,1740.5071,1164.6613,0.0237,17749.0820
64.0000,253.9683,1.5070,22.5362,61.9000,59.9650,256.0000,69.1892,9.5920,143.4424,79.5000,72.9489,96.4478,0.0020,1442.3186,2455.5483,0.0501,36721.2580
64.0000,318.4080,0.9452,14.1235,66.6000,64.3333,512.0000,67.4661,9.9845,149.2255,86.1000,78.1987,60.4921,0.0012,903.9058,5112.0625,0.1042,76403.4450
256.0000,222.9965,1.8373,27.4492,65.0500,61.7111,128.0000,65.8267,9.0800,135.6554,75.5000,70.7130,470.3479,0.0096,7026.9980,1162.2418,0.0237,17363.8950
256.0000,292.4044,1.3013,19.4409,69.4500,66.1861,256.0000,66.7188,9.2957,138.8780,78.9000,73.4088,333.1241,0.0068,4976.8750,2379.7024,0.0485,35552.7580
256.0000,297.6744,1.3135,19.5618,71.0000,67.3167,512.0000,66.0262,10.0646,149.9535,86.4500,79.2990,336.2571,0.0072,5007.8096,5153.0713,0.1106,76776.1950
1024.0000,231.4648,2.3391,35.6624,75.1000,69.4606,128.0000,59.9532,10.0625,153.4136,79.5000,76.4045,2395.2700,0.0488,36518.2900,1288.0059,0.0263,19636.9410
1024.0000,232.0154,2.3668,36.0836,76.0000,68.8070,256.0000,59.9391,10.9058,166.2691,83.7500,79.3308,2423.5605,0.0494,36949.6100,2791.8726,0.0569,42564.9000
1024.0000,232.4103,2.1879,33.3094,79.1000,72.6705,512.0000,58.8912,11.5124,175.2688,89.1500,83.3385,2240.4020,0.0457,34108.7800,5894.3280,0.1202,89737.6400
