prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,104.4898,6.4236,92.8010,74.7500,67.0853,128.0000,27.4031,22.9097,330.9717,65.2500,57.7903,411.1125,0.0143,5939.2607,2932.4395,0.1021,42364.3830
64.0000,196.0184,3.9473,57.0252,75.3500,69.1428,256.0000,27.1416,22.7869,329.1981,70.6500,60.4783,252.6242,0.0088,3649.6113,5833.4520,0.2031,84274.7300
64.0000,186.0465,3.4052,48.9616,71.0500,64.4813,512.0000,26.1098,23.0471,331.3809,70.1000,60.6716,217.9341,0.0076,3133.5440,11800.1270,0.4108,169667.0300
256.0000,185.3058,3.8214,54.6699,83.7000,74.6052,128.0000,25.6385,23.6360,338.1455,70.8500,61.2716,978.2673,0.0341,13995.4840,3025.4028,0.1053,43282.6250
256.0000,254.7264,3.1260,44.7894,82.5500,75.2975,256.0000,25.6719,23.5535,337.4753,71.1000,62.3443,800.2575,0.0279,11466.0920,6029.7075,0.2099,86393.6640
256.0000,238.6946,2.8770,41.2210,84.1000,75.2750,512.0000,24.4391,23.7942,338.9175,76.1000,64.8097,736.5000,0.0256,10552.5730,12182.6290,0.4241,173525.7500
1024.0000,194.5473,3.2151,45.9275,84.3000,78.0211,128.0000,22.6830,25.1650,359.4767,74.5500,64.8447,3292.2917,0.1146,47029.7340,3221.1174,0.1121,46013.0230
1024.0000,192.2824,3.2415,45.8529,84.7000,78.3065,256.0000,21.8514,25.3623,358.7466,75.3500,65.0367,3319.2656,0.1155,46953.3480,6492.7446,0.2260,91839.1400
1024.0000,193.5728,3.0475,42.7941,83.5000,75.0581,512.0000,20.1909,21.9401,308.2889,74.2000,59.8825,3120.6724,0.1086,43821.1560,11233.3125,0.3910,157843.8900
