prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,551.7242,0.5905,8.9940,59.4500,54.0833,128.0000,73.5632,7.4138,112.9240,60.8000,55.3643,37.7911,0.0008,575.6191,948.9661,0.0199,14454.2730
64.0000,528.9256,0.6173,9.4031,61.7500,56.4000,256.0000,72.3062,7.5763,115.3990,65.2500,59.0957,39.5097,0.0008,601.7963,1939.5295,0.0406,29542.1480
64.0000,558.9520,0.5840,8.8747,64.4500,59.6833,512.0000,69.8642,8.0078,120.9419,71.0000,64.4445,37.3779,0.0008,567.9799,4099.9766,0.0858,61922.2500
256.0000,543.5244,0.5950,8.8789,66.9500,61.0900,128.0000,70.3877,8.5212,127.1540,65.2500,58.9432,152.3258,0.0032,2273.0060,1090.7185,0.0228,16275.7090
256.0000,549.3563,0.5722,8.5388,67.3500,62.6300,256.0000,69.4049,7.9685,118.9055,68.9000,61.6264,146.4904,0.0031,2185.9300,2039.9276,0.0427,30439.8000
256.0000,541.7989,0.5175,7.7222,69.8500,64.9144,512.0000,67.0640,8.2994,123.8441,73.5500,65.3685,132.4812,0.0028,1976.8853,4249.3080,0.0889,63408.1840
1024.0000,422.0070,1.4709,21.9482,83.8000,74.0969,128.0000,59.4243,11.4524,170.8929,80.3000,68.4739,1506.1611,0.0315,22474.9410,1465.9088,0.0307,21874.2970
1024.0000,404.7430,1.3590,20.2784,83.3500,74.9598,256.0000,57.9710,10.7681,160.6815,79.9000,68.3416,1391.5732,0.0291,20765.0620,2756.6318,0.0577,41134.4650
1024.0000,430.7045,1.4304,21.2673,86.0500,76.9684,512.0000,56.8100,10.2647,152.6149,81.4500,69.6873,1464.7388,0.0306,21777.7380,5255.5034,0.1100,78138.8400
