prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,79.8503,4.7215,72.5957,41.0000,39.8529,128.0000,21.9253,21.5792,331.7933,49.0000,46.1362,302.1749,0.0099,4646.1226,2762.1377,0.0904,42469.5400
64.0000,84.3771,4.5677,69.2448,43.0000,41.4458,256.0000,22.0158,21.9254,332.3800,53.0000,49.3948,292.3340,0.0096,4431.6670,5612.8955,0.1836,85089.2800
64.0000,85.1064,4.4766,67.8631,45.0000,43.9562,512.0000,21.6527,22.9571,348.0213,57.0000,53.6658,286.5007,0.0094,4343.2373,11754.0600,0.3845,178186.8900
256.0000,74.4944,5.3436,81.0074,51.5000,49.3623,128.0000,22.0158,22.5367,341.6470,56.5000,54.3635,1367.9706,0.0447,20737.8870,2884.6938,0.0944,43730.8120
256.0000,73.9884,5.5024,82.7801,50.5000,48.4881,256.0000,21.6655,23.0737,345.1545,56.5000,54.3570,1408.6108,0.0474,21191.7100,5906.8633,0.1988,88359.5600
256.0000,75.4161,5.3395,76.9652,51.5000,48.7726,512.0000,21.6981,23.4871,338.4045,60.5000,57.2632,1366.9028,0.0460,19703.0940,12025.4130,0.4046,173263.1100
1024.0000,64.0100,6.1380,89.7411,52.5000,49.2217,128.0000,20.1702,24.7274,362.0388,57.0000,54.9402,6285.3310,0.2115,91894.8600,3165.1064,0.1065,46340.9700
1024.0000,64.0520,6.3103,93.9348,57.0000,54.0359,256.0000,19.9517,25.7604,383.4689,61.5000,59.6907,6461.7236,0.2174,96189.2660,6594.6533,0.2219,98168.0300
1024.0000,63.9021,6.3314,94.2044,56.5000,52.5997,512.0000,19.6764,26.6014,388.9615,64.0000,60.8501,6483.4033,0.2181,96465.2800,13619.9250,0.4583,199148.3100
