prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
128.0000,84.0722,4.8225,66.4756,50.0000,48.7514,128.0000,27.9232,19.0907,263.1541,57.0000,54.4135,617.2825,0.3810,8508.8740,2443.6118,1.5084,33683.7270
128.0000,110.1549,3.7425,51.5878,51.0000,49.1042,256.0000,28.2810,19.2256,265.0138,60.0000,56.7296,479.0364,0.2957,6603.2324,4921.7617,3.0381,67843.5500
128.0000,112.4286,3.8546,53.3281,53.0000,51.6087,512.0000,28.2857,19.7835,273.7014,64.5000,60.9430,493.3929,0.3046,6825.9930,10129.1720,6.2526,140135.1200
256.0000,103.5180,4.1870,57.8208,50.5000,48.2200,128.0000,27.7056,19.2722,266.1420,57.0000,53.9292,1071.8721,0.6616,14802.1240,2466.8472,1.5227,34066.1800
256.0000,105.8507,4.1482,57.2853,54.5000,52.2653,256.0000,28.2623,19.5438,269.8926,61.5000,58.8997,1061.9454,0.6555,14665.0430,5003.2217,3.0884,69092.5160
256.0000,104.8965,4.1438,56.9111,54.5000,51.7802,512.0000,27.7492,20.1987,277.4085,64.0000,60.7761,1060.8150,0.6548,14569.2340,10341.7150,6.3838,142033.1400
1024.0000,86.1808,4.9332,69.6356,51.5000,48.6723,128.0000,25.5489,21.0288,296.8340,56.0000,54.3915,5051.6360,3.1183,71306.9100,2691.6850,1.6615,37994.7540
1024.0000,85.9962,5.0110,69.7417,55.0000,51.8072,256.0000,25.4739,21.5328,299.6849,60.5000,58.2456,5131.3076,3.1675,71415.5100,5512.3955,3.4027,76719.3300
1024.0000,86.2098,4.9955,69.3091,57.0000,53.4385,512.0000,24.9750,22.3921,310.0596,64.0000,61.3360,5115.3570,3.1576,70972.5500,11464.7340,7.0770,158750.5200
