prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0,0.5332325406631494,-0.4593675012627733,-0.3990780313751601,-0.31999999360000014,-0.32449490626904504,128.0,-0.01451133252547496,-0.32722142771162405,-0.2521945876876151,-0.3245613978147123,-0.31936632689526107,-0.7296838145748765,-0.9863467805376109,-0.6995390106023971,-0.3272214513257706,-0.9660248800834631,-0.25219465766801297
64.0,0.18692548351294105,-0.31726073549437833,-0.2411238333810772,-0.29411764129181095,-0.28417481212236795,256.0,-0.041964293891141105,-0.32656625662208366,-0.2514664035428095,-0.2999999950000001,-0.2962150204812117,-0.6586304151336996,-0.9827579374540291,-0.6205619234875691,-0.32656623738476276,-0.965992116981602,-0.25146649902236157
64.0,0.17371130429795495,-0.34436392921546793,-0.27390407577277637,-0.2547169763260948,-0.24915754024946613,512.0,-0.07059973100924984,-0.32700148709482735,-0.2546756233318934,-0.3023255767081306,-0.2839882768471276,-0.672182006120919,-0.9834423701092958,-0.636952044832605,-0.327001506112543,-0.9660142609372994,-0.2546755945243799
256.0,0.2620566699367262,-0.29870296433870236,-0.22191843495484093,-0.15841583844721113,-0.17341324816646106,128.0,-0.05675774611569895,-0.30308452923281787,-0.22677985049268665,-0.23684210110803333,-0.21144857701022465,-0.2987030819267494,-0.964583917730572,-0.2219184219628265,-0.3030846011446982,-0.9648060041000927,-0.22677987375670594
256.0,0.24376437761545758,-0.29907318922448145,-0.23411220936601132,-0.22935779395673775,-0.24397679791638457,256.0,-0.077643620696384,-0.3120166378800968,-0.2509494136225818,-0.28455284090157984,-0.2694281197502378,-0.2990732383236716,-0.9646026034148892,-0.2341122354544673,-0.31201663513891126,-0.9652573824811767,-0.2509494081782903
256.0,0.2541109530008238,-0.2802687787715333,-0.22084121382990674,-0.1834862351653902,-0.18499196391764075,512.0,-0.08242781992617794,-0.31756730631131375,-0.26121941095232776,-0.26562499584960947,-0.24840509988282727,-0.2802688496295123,-0.9636530004199595,-0.22084126041075047,-0.31756730867969507,-0.9655378498724846,-0.261219388656329
1024.0,0.10217510096595672,-0.16750990905671614,-0.12903903203260067,-0.038834950702233965,-0.032400687956421405,128.0,-0.11749155081073742,-0.2548973928173046,-0.22107201256907225,-0.11607142649872453,-0.11095746978418729,-0.1675098918117795,-0.9579599813359544,-0.12903910714783415,-0.2548973968889757,-0.9623726674430573,-0.22107204588767515
1024.0,0.11103330277888838,-0.167029159355149,-0.11682678677040202,-0.05454545355371903,-0.03980278332457436,256.0,-0.11446457742033833,-0.27820409388543876,-0.23470219707213058,-0.14049586544634934,-0.14073714816481261,-0.16702917982016327,-0.9579357127008554,-0.11682677894316187,-0.2782040947028919,-0.963549925422772,-0.23470221911173234
1024.0,0.11045674493553229,-0.16544415829167358,-0.11509976946616163,-0.07017543736534321,-0.05237799267995563,512.0,-0.11546165703857232,-0.2930793641550012,-0.25013619881424026,-0.1718749973144532,-0.1736395555339912,-0.16544417131288303,-0.9578556673827948,-0.11509978153363383,-0.2930793684098489,-0.9643012559845291,-0.25013621372547223
