prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,163.4738,2.3361,32.6057,59.9500,52.0000,128.0000,29.1871,17.0951,238.6002,63.2500,58.2900,149.5116,0.0070,2086.7646,2188.1758,0.1020,30540.8200
64.0000,173.4417,2.3853,33.2919,62.1000,57.6705,256.0000,31.2614,17.0462,237.9174,70.4500,62.8550,152.6583,0.0071,2130.6826,4363.8290,0.2033,60906.8600
64.0000,170.4394,2.4593,34.5450,67.7500,62.9830,512.0000,31.5222,18.7884,263.8105,83.5500,70.1517,157.3930,0.0073,2210.8813,9619.6350,0.4483,135071.0000
256.0000,170.7236,2.3825,34.5136,69.5000,63.3241,128.0000,29.0678,17.0663,247.2296,70.8500,65.4757,609.9158,0.0284,8835.4870,2184.4888,0.1018,31645.3930
256.0000,175.3425,2.4820,35.9554,71.0500,65.4152,256.0000,30.2332,18.0134,260.9493,78.5000,66.5664,635.3937,0.0296,9204.5690,4611.4287,0.2149,66803.0300
256.0000,175.7638,2.7534,39.8874,74.1500,66.4657,512.0000,31.7401,19.1662,275.1128,86.4500,75.3359,704.8803,0.0328,10211.1790,9813.0820,0.4573,140857.7700
1024.0000,145.4545,3.2793,46.1716,84.9000,73.6822,128.0000,29.2237,19.7547,278.8216,83.1000,75.7248,3358.0146,0.1565,47279.7500,2528.6045,0.1178,35689.1640
1024.0000,159.2906,3.5084,49.6494,82.7500,71.1678,256.0000,27.9461,20.4459,289.3416,85.6500,77.9966,3592.5980,0.1674,50841.0160,5234.1406,0.2439,74071.4600
1024.0000,131.0636,2.6361,37.4279,72.0500,65.8385,512.0000,25.1702,17.5239,248.6214,75.1500,68.7491,2699.3315,0.1258,38326.2000,8972.2240,0.4181,127294.1640
