prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,231.4648,2.5850,36.7310,61.5000,56.2457,128.0000,38.3578,16.6473,236.5454,57.4500,51.1482,165.4412,0.0064,2350.7866,2130.8586,0.0823,30277.8050
64.0000,233.5766,2.9430,41.8170,65.4000,61.2833,256.0000,35.9046,17.9432,254.9582,67.5500,57.9717,188.3491,0.0073,2676.2896,4593.4526,0.1773,65269.2970
64.0000,234.8624,2.6375,37.4771,67.5500,62.3583,512.0000,34.6696,17.6649,250.2317,68.3500,60.5455,168.8014,0.0065,2398.5332,9044.4430,0.3492,128118.6500
256.0000,313.7255,2.2984,31.8811,81.0000,71.7291,128.0000,35.1407,18.3923,255.1163,68.7000,60.0214,588.3990,0.0227,8161.5684,2354.2168,0.0909,32654.8850
256.0000,311.6251,2.3691,33.4755,81.7500,72.2087,256.0000,34.8631,18.0179,254.5929,70.3000,61.1632,606.4926,0.0234,8569.7390,4612.5815,0.1781,65175.7900
256.0000,318.4080,2.3769,33.5850,80.4000,72.0314,512.0000,32.7596,18.4249,258.2519,72.0500,63.0069,608.4753,0.0235,8597.7600,9433.5490,0.3642,132224.9800
1024.0000,254.3152,3.0481,42.2242,91.5000,82.4311,128.0000,30.0717,20.0255,277.4089,78.8500,64.9287,3121.2124,0.1205,43237.5400,2563.2600,0.0990,35508.3360
1024.0000,252.2478,2.9669,40.9571,91.9000,84.2415,256.0000,29.0711,19.6785,271.1148,80.0000,65.9067,3038.1294,0.1173,41940.0470,5037.6980,0.1945,69405.3900
1024.0000,220.2861,2.8326,39.7491,84.1000,77.8090,512.0000,27.5380,19.9048,278.2594,74.5500,64.3278,2900.5660,0.1120,40703.0660,10191.2730,0.3934,142468.8100
