prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,128.9023,2.6072,39.9466,34.0000,32.9318,128.0000,27.5180,12.8438,196.7881,38.5000,37.0357,166.8614,0.0052,2556.5847,1644.0096,0.0512,25188.8710
64.0000,130.7457,2.5551,39.1487,36.0000,35.1500,256.0000,27.0942,12.9472,198.3718,42.0000,39.9254,163.5285,0.0051,2505.5178,3314.4805,0.1033,50783.1700
64.0000,131.9588,2.5272,38.7213,39.5000,38.7500,512.0000,26.2888,13.3143,203.9963,45.0000,43.6359,161.7431,0.0050,2478.1628,6816.9175,0.2125,104446.1250
256.0000,130.6456,2.9363,44.9893,42.5000,39.8580,128.0000,26.1331,13.4311,205.7864,43.5000,42.5260,751.7006,0.0234,11517.2600,1719.1838,0.0536,26340.6560
256.0000,131.6534,2.9076,43.8741,42.0000,39.5138,256.0000,26.0679,13.4458,202.1632,44.0000,43.0305,744.3460,0.0232,11231.7770,3442.1333,0.1073,51753.7900
256.0000,131.5519,2.9824,44.3428,44.5000,42.2013,512.0000,25.4619,13.7842,204.9440,47.0000,45.6790,763.5016,0.0238,11351.7460,7057.5244,0.2200,104931.3300
1024.0000,94.9863,4.1069,60.6499,49.5000,47.0953,128.0000,22.5471,15.6686,231.2123,49.5000,48.3563,4205.4370,0.1311,62105.5300,2005.5815,0.0625,29595.1760
1024.0000,95.5447,4.1741,61.5940,52.0000,49.7451,256.0000,22.5580,15.5423,229.3482,52.0000,50.0483,4274.2295,0.1332,63072.2660,3978.8245,0.1240,58713.1330
1024.0000,95.7323,4.1690,61.3317,53.0000,50.6395,512.0000,22.0913,15.8294,232.5025,53.0000,50.6856,4269.0510,0.1331,62803.6250,8104.6570,0.2526,119041.2660
