prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,175.1026,3.1709,46.8592,66.9500,60.7794,128.0000,25.3993,22.7332,335.9517,76.1500,66.3227,202.9361,0.0065,2998.9902,2909.8520,0.0937,43001.8120
64.0000,132.0949,3.6522,53.9722,63.4500,59.1850,256.0000,26.2053,22.7993,336.9277,81.8000,70.7298,233.7406,0.0075,3454.2200,5836.6143,0.1879,86253.5000
64.0000,126.9841,3.5317,51.8489,70.5000,64.2173,512.0000,25.8677,24.1163,354.0471,88.6000,76.0529,226.0317,0.0073,3318.3276,12347.5620,0.3975,181272.1400
256.0000,123.4032,3.2578,47.6046,71.6500,63.0337,128.0000,22.8266,23.1547,338.3464,73.4000,67.1008,834.0026,0.0268,12186.7830,2963.8064,0.0954,43308.3360
256.0000,128.2244,3.4984,51.2078,68.7000,60.5586,256.0000,24.6735,23.6753,346.5498,82.1500,71.6722,895.5842,0.0288,13109.2050,6060.8800,0.1951,88716.7600
256.0000,151.3450,3.0365,44.0516,76.3000,67.5366,512.0000,25.1702,25.3240,365.1055,91.1000,78.1885,777.3347,0.0250,11277.2190,12965.9020,0.4174,186934.0300
1024.0000,132.2399,3.7808,54.8929,83.1500,71.7601,128.0000,23.2094,26.5826,385.9482,84.3000,76.5356,3871.5518,0.1246,56210.3050,3402.5776,0.1095,49401.3670
1024.0000,111.7538,4.5234,65.7724,85.8500,74.0078,256.0000,23.3130,26.8859,390.9324,91.7000,80.2136,4631.9883,0.1491,67350.9700,6882.8010,0.2216,100078.7000
1024.0000,110.8105,4.4450,63.8283,86.4500,76.2048,512.0000,23.0200,28.2063,404.2423,92.7000,82.5084,4551.7060,0.1465,65360.1800,14441.6270,0.4649,206972.0300
