prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,94.8851,4.9107,70.9795,70.5000,65.0714,128.0000,20.3789,22.4024,323.8041,69.5000,61.8180,314.2858,0.1462,4542.6895,2867.5044,1.3337,41446.9180
64.0000,95.9520,4.9712,71.7642,75.0000,70.4643,256.0000,19.6734,22.4762,324.4658,77.0000,66.8878,318.1566,0.1480,4592.9100,5753.8945,2.6762,83063.2400
64.0000,96.6767,4.8643,70.2214,75.5000,71.5714,512.0000,18.8506,24.2253,348.4648,83.0000,71.0098,311.3168,0.1448,4494.1700,12403.3710,5.7690,178414.0000
256.0000,114.8497,4.5619,64.9192,80.5000,75.3111,128.0000,19.5077,22.9917,327.1908,78.0000,66.2548,1167.8418,0.5432,16619.3240,2942.9414,1.3688,41880.4180
256.0000,111.6928,4.5148,64.8675,81.0000,76.1965,256.0000,18.9489,23.4451,336.8495,80.0000,70.7618,1155.8013,0.5376,16606.0940,6001.9380,2.7916,86233.4700
256.0000,103.3508,4.7920,68.8495,81.0000,76.2743,512.0000,18.1989,24.4823,350.0961,79.5000,72.6792,1226.7515,0.5706,17625.4800,12534.9130,5.8302,179249.2200
1024.0000,82.9351,6.0759,86.0289,87.0000,81.8830,128.0000,16.6710,26.4839,375.0674,83.5000,75.6577,6221.6920,2.8938,88093.6400,3389.9330,1.5767,48008.6250
1024.0000,90.5794,5.7493,81.8381,86.0000,79.9264,256.0000,16.7173,26.3162,371.8409,83.0000,72.0399,5887.3013,2.7383,83802.2340,6736.9420,3.1335,95191.2660
1024.0000,78.9240,6.2379,87.4036,87.5000,81.8504,512.0000,16.0951,27.0620,378.4326,83.5000,74.8889,6387.6123,2.9710,89501.3200,13855.7680,6.4445,193757.5000
