prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,102.0734,4.3166,65.1430,71.0000,67.3077,128.0000,25.7468,23.2390,350.7042,81.5000,74.9714,276.2638,0.0316,4169.1540,2974.5898,0.3400,44890.1400
64.0000,98.6893,4.9922,75.3378,73.5000,70.2441,256.0000,25.5234,23.0681,348.1249,86.0000,80.9097,319.4986,0.0365,4821.6196,5905.4260,0.6749,89119.9700
64.0000,84.8244,4.9449,74.5533,73.5000,70.3865,512.0000,24.4222,22.3179,336.4828,86.0000,83.2047,316.4735,0.0362,4771.4087,11426.7730,1.3059,172279.2200
256.0000,118.4637,4.1240,62.0731,79.5000,74.7150,128.0000,25.8012,23.0229,346.5313,84.5000,80.7797,1055.7480,0.1207,15890.7030,2946.9287,0.3368,44356.0080
256.0000,112.0105,3.9581,59.5750,79.5000,74.8875,256.0000,24.9890,22.6867,341.4719,86.0000,83.0977,1013.2613,0.1158,15251.2110,5807.8060,0.6637,87416.8000
256.0000,102.9353,4.2170,63.3962,79.0000,74.5778,512.0000,23.7802,23.1870,348.5839,86.0000,84.1456,1079.5427,0.1234,16229.4150,11871.7320,1.3568,178474.9400
1024.0000,87.8141,5.6167,84.1555,87.0000,81.6464,128.0000,22.1779,24.6078,368.7036,86.0000,85.1681,5751.4560,0.6573,86175.2500,3149.7974,0.3600,47194.0620
1024.0000,91.6331,5.0957,76.2039,86.5000,81.5931,256.0000,22.2309,23.7845,355.6829,86.5000,85.2160,5218.0450,0.5963,78032.7500,6088.8306,0.6959,91054.8100
1024.0000,90.6516,5.1292,76.4810,86.5000,81.4066,512.0000,21.4132,24.4590,362.0391,86.0000,85.2501,5252.3370,0.6003,78316.5000,12523.0180,1.4312,185364.0200
