prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,72.9761,6.5869,98.4793,69.0000,65.4167,128.0000,20.9733,29.5356,436.4492,80.5000,73.9638,421.5607,0.0794,6302.6724,3780.5605,0.7120,55865.5000
64.0000,69.2641,6.8936,101.9487,73.0000,69.8972,256.0000,20.3038,29.3870,434.5985,86.0000,81.3214,441.1932,0.0831,6524.7190,7523.0713,1.4168,111257.2200
64.0000,57.7097,7.8440,115.3087,73.5000,70.1608,512.0000,19.3708,28.7898,421.2809,86.0000,83.3760,502.0172,0.0945,7379.7560,14740.3590,2.7760,215695.8100
256.0000,82.3681,6.1038,89.7849,80.0000,75.3955,128.0000,19.0123,32.5657,479.0291,85.5000,82.1176,1562.5801,0.2943,22984.9380,4168.4150,0.7850,61315.7300
256.0000,74.7118,6.1591,90.3977,81.0000,77.0149,256.0000,18.7731,30.1721,442.8419,86.0000,84.3423,1576.7189,0.2969,23141.8220,7724.0537,1.4546,113367.5200
256.0000,76.8884,5.8123,84.4780,81.0000,76.7046,512.0000,17.4825,30.2973,439.9377,86.0000,84.8283,1487.9592,0.2802,21626.3600,15512.2270,2.9213,225248.1000
1024.0000,68.9400,6.8875,100.5441,87.0000,82.5699,128.0000,17.2751,30.2720,441.9115,86.0000,85.2023,7052.8237,1.3282,102957.1400,3874.8223,0.7297,56564.6700
1024.0000,69.2266,6.7048,97.8524,87.5000,82.2959,256.0000,16.9649,30.1801,440.4604,86.0000,85.2514,6865.7036,1.2930,100200.8400,7726.1016,1.4550,112757.8750
1024.0000,67.1740,7.3738,104.7612,87.0000,81.8988,512.0000,16.0832,33.2261,470.7462,86.5000,85.2519,7550.7383,1.4220,107275.4800,17011.7850,3.2037,241022.0600
