prefill_len,prefill_token_speed,prefill_capacity,prefill_energy,prefill_peak_temp,prefill_avg_temp,decode_len,decode_token_speed,decode_capacity,decode_energy,decode_peak_temp,decode_avg_temp,prefill_battery_turn,prefill_battery_percentage_turn,prefill_energy_turn,decode_battery_turn,decode_battery_percentage_turn,decode_energy_turn
64.0000,320.8020,0.8735,13.0882,60.0000,55.4350,128.0000,54.3871,10.0953,151.2603,64.0500,56.6908,55.9057,0.0013,837.6458,1292.2015,0.0290,19361.3160
64.0000,412.9032,0.7310,10.8011,62.1500,57.0542,256.0000,54.5087,9.8277,145.6189,67.0000,60.0910,46.7829,0.0010,691.2674,2515.8926,0.0564,37278.4450
64.0000,416.9381,0.7344,10.9960,63.3000,58.9625,512.0000,53.3695,10.7943,161.6161,71.6000,64.9413,47.0025,0.0011,703.7410,5526.6630,0.1240,82747.4200
256.0000,358.5434,0.8741,13.0559,68.1000,62.2192,128.0000,53.0460,11.3541,169.5894,66.4000,59.7071,223.7692,0.0050,3342.3074,1453.3245,0.0326,21707.4450
256.0000,377.0250,0.8134,12.1489,70.6000,65.2102,256.0000,51.9797,11.0020,164.3307,70.6500,63.1985,208.2240,0.0047,3110.1174,2816.5186,0.0632,42068.6640
256.0000,401.8838,0.7779,11.6104,72.7500,66.8692,512.0000,50.6129,11.4612,171.0648,74.7000,66.4803,199.1379,0.0045,2972.2534,5868.1180,0.1317,87585.1900
1024.0000,308.8058,2.0795,31.0377,84.9000,75.5049,128.0000,45.3820,13.9867,208.7598,82.0000,69.9035,2129.4016,0.0478,31782.6100,1790.2961,0.0402,26721.2500
1024.0000,315.9031,2.1177,31.5540,86.5000,76.4826,256.0000,45.0704,13.7483,204.8558,83.3500,69.0907,2168.4841,0.0487,32311.2810,3519.5757,0.0790,52443.0900
1024.0000,304.0831,2.1259,31.3851,87.2500,77.7716,512.0000,43.3018,13.5625,199.5048,83.9500,70.0606,2176.8760,0.0488,32138.3420,6944.0080,0.1558,102146.4600
